,city,date_mutation,latitude,longitude,nombre_pieces_principales,surface_reelle_bati,surface_terrain,type_local,valeur_fonciere
0,Abbaretz,2017,47.55085,-1.532934,4.0,90.0,844.0,Maison,90000.0
1,Abbaretz,2018,47.551705,-1.538806,0.0,,26.0,Dépendance,36500.0
2,Abbaretz,2016,47.53321,-1.5275,3.0,114.0,270.0,Maison,102500.0
3,Abbaretz,2016,47.537326,-1.537372,4.0,185.0,1425.0,Maison,198000.0
4,Abbaretz,2019,47.549782,-1.461268,3.0,104.0,1287.0,Maison,419500.0
5,Abbaretz,2014,47.559434,-1.510585,2.0,66.0,705.0,Maison,71500.0
6,Abbaretz,2016,47.553297,-1.536825,5.0,135.0,730.0,Maison,237500.0
7,Abbaretz,2018,47.557676,-1.522451,6.0,128.0,1000.0,Maison,170000.0
8,Abbaretz,2016,47.552914,-1.533692,4.0,80.0,804.0,Appartement,85000.0
9,Abbaretz,2017,47.565827,-1.521965,2.0,47.0,523.0,Maison,56700.0
10,Abbaretz,2014,47.536902000000005,-1.5350110000000001,0.0,24.0,2888.0,Maison,90000.0
11,Abbaretz,2019,47.550046,-1.461015,6.0,267.0,2193.0,Maison,419500.0
12,Abbaretz,2014,47.552416,-1.532484,3.0,100.0,185.0,Maison,110000.0
13,Abbaretz,2018,47.552565,-1.5306680000000001,5.0,119.0,740.0,Maison,230000.0
14,Abbaretz,2017,47.553346999999995,-1.540118,6.0,99.0,882.0,Maison,110000.0
15,Abbaretz,2018,47.559434,-1.510585,2.0,66.0,705.0,Maison,58500.0
16,Abbaretz,2014,47.535555,-1.537261,5.0,120.0,420.0,Maison,171000.0
17,Abbaretz,2015,47.554736,-1.53969,3.0,60.0,624.0,Maison,80000.0
18,Abbaretz,2017,47.552797999999996,-1.532781,3.0,120.0,247.0,Maison,102000.0
19,Abbaretz,2019,47.550674,-1.531728,5.0,143.0,474.0,Maison,245000.0
20,Abbaretz,2019,47.555239,-1.488366,11.0,416.0,3277.0,Maison,272000.0
21,Abbaretz,2014,47.555158,-1.439549,2.0,69.0,228.0,Maison,58000.0
22,Abbaretz,2017,47.551992999999996,-1.53843,0.0,,463.0,Local industriel. commercial ou assimilé,15000.0
23,Abbaretz,2015,47.534718,-1.537785,2.0,72.0,2235.0,Maison,118000.0
24,Abbaretz,2016,47.535743,-1.5341790000000002,3.0,115.0,1803.0,Maison,160000.0
25,Abbaretz,2018,47.552479,-1.517131,4.0,130.0,906.0,Maison,125000.0
26,Abbaretz,2018,47.552703,-1.538873,2.0,37.0,701.0,Maison,147000.0
27,Abbaretz,2016,47.552644,-1.534101,0.0,,108.0,Local industriel. commercial ou assimilé,47000.0
28,Abbaretz,2017,47.553987,-1.540254,3.0,56.0,717.0,Maison,80000.0
29,Abbaretz,2017,47.547748,-1.532885,2.0,59.0,435.0,Maison,90000.0
30,Aigrefeuille-sur-Maine,2018,47.080574,-1.405583,4.0,121.0,1076.0,Maison,284850.0
31,Abbaretz,2017,47.554984000000005,-1.526455,3.0,60.0,185.0,Maison,89000.0
32,Abbaretz,2015,47.567909,-1.496432,2.0,117.0,1070.0,Maison,105000.0
33,Aigrefeuille-sur-Maine,2019,47.081322,-1.4072930000000001,4.0,80.0,1240.0,Maison,210000.0
34,Abbaretz,2017,47.554903,-1.54025,4.0,83.0,365.0,Maison,162000.0
35,Abbaretz,2016,47.565265999999994,-1.509335,1.0,25.0,387.0,Maison,151000.0
36,Aigrefeuille-sur-Maine,2016,47.082339000000005,-1.40531,6.0,94.0,465.0,Maison,210000.0
37,Abbaretz,2016,47.552951,-1.5301209999999998,4.0,90.0,155.0,Maison,108500.0
38,Abbaretz,2017,47.569553000000006,-1.500318,3.0,70.0,130.0,Maison,65000.0
39,Abbaretz,2016,47.554238,-1.529283,4.0,100.0,700.0,Maison,170000.0
40,Abbaretz,2014,47.553321000000004,-1.538961,4.0,84.0,621.0,Maison,155000.0
