,city,date_mutation,latitude,longitude,nombre_pieces_principales,surface_reelle_bati,surface_terrain,type_local,valeur_fonciere
0,1049,1505340000.0,45.839037,5.037285,0.0,1115.0,3620.0,4,625000.0
1,1030,1522360800.0,46.001775,4.7524169999999994,3.0,47.0,40.0,1,117000.0
2,1030,1522274400.0,46.003382,4.7511980000000005,3.0,78.0,0.0,2,121660.0
3,1030,1521673200.0,46.001948999999996,4.75146,2.0,78.0,77.0,1,95000.0
4,1030,1519081200.0,46.003355,4.7507980000000005,4.0,122.0,443.0,1,200000.0
5,1030,1516316400.0,46.001841,4.752451000000001,2.0,48.0,124.0,1,115000.0
6,1030,1511910000.0,46.00225,4.751419,2.0,90.0,72.0,1,159280.0
7,1030,1505253600.0,46.001742,4.752956,3.0,74.0,151.0,1,161780.0
8,1030,1500501600.0,46.001641,4.752456,4.0,115.0,80.0,1,327500.0
9,1030,1492984800.0,46.002412,4.751254,3.0,54.0,0.0,2,179900.0
12,1030,1468360800.0,46.002207,4.750769,3.0,100.0,43.0,1,163000.0
13,1030,1467237600.0,46.001096000000004,4.751333,2.0,44.0,0.0,2,115000.0
14,1030,1462140000.0,46.00186,4.75175,1.0,20.0,103.0,2,203000.0
16,1030,1461880800.0,46.001758,4.751804,0.0,,105.0,3,56000.0
17,1030,1454367600.0,46.002303000000005,4.75095,6.0,172.0,0.0,2,130500.0
19,1030,1441144800.0,46.001681,4.750519000000001,3.0,63.0,70.0,1,100000.0
20,1030,1440972000.0,46.001096000000004,4.751333,1.0,20.0,0.0,2,49000.0
22,1030,1435874400.0,46.001096000000004,4.751333,2.0,38.0,0.0,2,48000.0
23,1030,1429653600.0,46.002721,4.75092,5.0,105.0,51.0,1,65000.0
24,1030,1425942000.0,46.002607,4.751307,3.0,44.0,0.0,2,64500.0
25,1030,1420758000.0,46.002303000000005,4.75095,3.0,77.0,0.0,2,118750.0
26,1030,1405375200.0,46.001389,4.7513819999999996,3.0,54.0,0.0,2,97640.0
28,1030,1403647200.0,46.002196000000005,4.750723000000001,3.0,107.0,43.0,1,158000.0
29,1030,1401832800.0,46.001104999999995,4.752834,2.0,63.0,0.0,1,110000.0
30,1030,1401660000.0,46.001589,4.751975,3.0,90.0,184.0,1,135000.0
31,1030,1398376800.0,46.000901,4.751755999999999,5.0,87.0,669.0,1,192000.0
32,1030,1394146800.0,46.002303000000005,4.75095,3.0,50.0,0.0,2,109000.0
33,1030,1393369200.0,46.001096000000004,4.751333,1.0,23.0,0.0,2,32000.0
34,1159,1495058400.0,46.328431,4.896637,5.0,80.0,510.0,1,155000.0
35,1159,1488150000.0,46.32849,4.894291,6.0,151.0,1037.0,1,285920.0
37,1159,1485385200.0,46.329227,4.893742,7.0,164.0,757.0,1,124800.0
38,1159,1479942000.0,46.327181,4.892542,0.0,280.0,2090.0,4,400000.0
43,1159,1479942000.0,46.326993,4.892053,0.0,2660.0,172.0,4,15690.0
44,1159,1478559600.0,46.330684000000005,4.8958010000000005,4.0,95.0,545.0,1,110000.0
45,1159,1476655200.0,46.327940999999996,4.894989,5.0,134.0,718.0,2,150000.0
50,1159,1454367600.0,46.326708,4.892734,3.0,85.0,617.0,1,135000.0
51,1159,1452553200.0,46.328238,4.8943129999999995,4.0,103.0,148.0,1,138000.0
52,1159,1451257200.0,46.328582,4.895327,4.0,88.0,223.0,1,75000.0
53,1159,1451257200.0,46.328602000000004,4.895149,4.0,105.0,1044.0,1,300000.0
55,1159,1449183600.0,46.328641,4.895617,4.0,99.0,266.0,1,152975.0
56,1159,1436479200.0,46.328759000000005,4.895614,4.0,99.0,235.0,1,152975.0
57,1159,1430344800.0,46.328368,4.895168,7.0,310.0,1060.0,1,200000.0
58,1159,1421881200.0,46.328212,4.8959269999999995,0.0,134.0,145.0,4,45000.0
59,1159,1419202800.0,46.328439,4.894,4.0,100.0,226.0,1,162925.0
60,1159,1406671200.0,46.328883000000005,4.895539,4.0,88.0,264.0,1,161500.0
61,1238,1509663600.0,45.911736,4.832315,6.0,148.0,933.0,1,430850.0
62,1238,1498514400.0,45.910204,4.828969,3.0,80.0,304.0,1,232900.0
63,1238,1496959200.0,45.912958,4.830941,4.0,93.0,0.0,1,248500.0
64,1238,1496008800.0,45.909638,4.831439,6.0,131.0,816.0,1,297000.0
