,city,date_mutation,latitude,longitude,nombre_pieces_principales,surface_reelle_bati,surface_terrain,type_local,valeur_fonciere
0,Abbaretz,2016,47.552461,-1.534621,2.0,61.0,144.0,Maison,132800.0
1,Abbaretz,2019,47.551369,-1.532278,0.0,,141.0,Dépendance,40000.0
2,Abbaretz,2018,47.552703,-1.538873,2.0,37.0,701.0,Maison,147000.0
3,Abbaretz,2017,47.554903,-1.54025,4.0,83.0,365.0,Maison,162000.0
4,Abbaretz,2017,47.55085,-1.532934,4.0,90.0,844.0,Maison,90000.0
5,Abbaretz,2018,47.552766,-1.525685,4.0,113.0,258.0,Maison,41000.0
6,Abbaretz,2019,47.55162,-1.539615,5.0,91.0,554.0,Maison,160000.0
7,Abbaretz,2015,47.554736,-1.53969,3.0,60.0,624.0,Maison,80000.0
8,Abbaretz,2014,47.554282,-1.540275,3.0,73.0,630.0,Maison,100000.0
9,Abbaretz,2015,47.552351,-1.5328620000000002,3.0,67.0,150.0,Maison,86000.0
10,Abbaretz,2016,47.552951,-1.5301209999999998,4.0,90.0,155.0,Maison,108500.0
11,Abbaretz,2017,47.551992999999996,-1.53843,0.0,,463.0,Local industriel. commercial ou assimilé,15000.0
12,Abbaretz,2017,47.552797999999996,-1.532781,3.0,120.0,247.0,Maison,102000.0
13,Abbaretz,2016,47.552914,-1.533692,4.0,80.0,804.0,Appartement,85000.0
14,Abbaretz,2016,47.562064,-1.532622,4.0,100.0,341.0,Maison,200000.0
15,Abbaretz,2017,47.553987,-1.540254,3.0,56.0,717.0,Maison,80000.0
16,Abbaretz,2016,47.553297,-1.536825,5.0,135.0,730.0,Maison,237500.0
17,Abbaretz,2017,47.554984000000005,-1.526455,3.0,60.0,185.0,Maison,89000.0
18,Abbaretz,2014,47.552481,-1.531299,6.0,170.0,605.0,Maison,176000.0
19,Abbaretz,2015,47.552337,-1.530583,0.0,1450.0,1328.0,Local industriel. commercial ou assimilé,145000.0
20,Abbaretz,2018,47.55839,-1.5280200000000002,3.0,69.0,2150.0,Maison,68000.0
21,Abbaretz,2019,47.551968,-1.540039,3.0,78.0,1170.0,Maison,120000.0
22,Abbaretz,2018,47.553886999999996,-1.5386790000000001,5.0,95.0,602.0,Maison,170000.0
23,Abbaretz,2015,47.552908,-1.5324229999999999,3.0,103.0,157.0,Maison,120000.0
24,Abbaretz,2016,47.554238,-1.529283,4.0,100.0,700.0,Maison,170000.0
25,Abbaretz,2016,47.552997,-1.532376,3.0,69.0,78.0,Maison,95000.0
26,Abbaretz,2018,47.55386,-1.538299,4.0,121.0,951.0,Maison,202000.0
27,Abbaretz,2019,47.550674,-1.531728,5.0,143.0,474.0,Maison,245000.0
28,Abbaretz,2018,47.55409,-1.538736,4.0,166.0,605.0,Maison,75000.0
29,Abbaretz,2019,47.563145,-1.5465440000000001,3.0,97.0,775.0,Maison,105000.0
30,Abbaretz,2014,47.553321000000004,-1.538961,4.0,84.0,621.0,Maison,155000.0
31,Abbaretz,2018,47.552565,-1.5306680000000001,5.0,119.0,740.0,Maison,230000.0
32,Abbaretz,2014,47.553298,-1.5266899999999999,4.0,100.0,1055.0,Maison,130500.0
33,Abbaretz,2018,47.552806,-1.5254530000000002,6.0,122.0,615.0,Maison,137000.0
34,Abbaretz,2014,47.554565000000004,-1.531772,3.0,50.0,400.0,Maison,85000.0
35,Abbaretz,2017,47.552353000000004,-1.5373700000000001,5.0,88.0,1500.0,Maison,165000.0
36,Abbaretz,2017,47.553346999999995,-1.540118,6.0,99.0,882.0,Maison,110000.0
37,Abbaretz,2018,47.551705,-1.538806,0.0,,26.0,Dépendance,36500.0
38,Abbaretz,2018,47.55225,-1.532398,5.0,92.0,59.0,Maison,51000.0
39,Abbaretz,2017,47.553026,-1.53464,3.0,80.0,97.0,Maison,68000.0
40,Abbaretz,2018,47.55292,-1.536804,6.0,160.0,669.0,Maison,182000.0
41,Abbaretz,2016,47.552345,-1.5361040000000001,4.0,75.0,810.0,Maison,150000.0
42,Abbaretz,2017,47.552749,-1.532823,2.0,100.0,205.0,Maison,102000.0
43,Abbaretz,2014,47.552416,-1.532484,3.0,100.0,185.0,Maison,110000.0
44,Abbaretz,2016,47.552644,-1.534101,0.0,,108.0,Local industriel. commercial ou assimilé,47000.0
45,Abbaretz,2018,47.554164,-1.537544,4.0,78.0,705.0,Maison,135000.0
