id,city,date_mutation,latitude,longitude,nombre_pieces_principales,surface_reelle_bati,surface_terrain,type_local,valeur_fonciere
80,Abbaretz,2017,,,3.0,56.0,717.0,Maison,80000.0
81,Abbaretz,2015,,,0.0,1450.0,1328.0,Local industriel. commercial ou assimilé,145000.0
82,Aigrefeuille-sur-Maine,2016,47.081279,-1.407828,5.0,109.0,500.0,Maison,223000.0
83,Abbaretz,2015,,,2.0,60.0,455.0,Maison,111000.0
84,Abbaretz,2016,,,4.0,80.0,804.0,Appartement,85000.0
85,Abbaretz,2017,,,5.0,88.0,1000.0,Maison,165000.0
86,Aigrefeuille-sur-Maine,2015,47.081111,-1.406193,5.0,128.0,1139.0,Maison,190000.0
87,Abbaretz,2014,,,3.0,50.0,400.0,Maison,85000.0
88,Abbaretz,2016,,,1.0,25.0,387.0,Maison,151000.0
89,Abbaretz,2018,,,2.0,38.0,701.0,Maison,147000.0
90,Abbaretz,2016,,,2.0,73.0,722.0,Maison,95000.0
91,Abbaretz,2017,,,0.0,90.0,247.0,Local industriel. commercial ou assimilé,102000.0
92,Abbaretz,2016,,,3.0,69.0,78.0,Maison,95000.0
93,Abbaretz,2018,,,0.0,,615.0,Dépendance,137000.0
94,Abbaretz,2019,,,3.0,104.0,1287.0,Maison,419500.0
95,Abbaretz,2018,,,3.0,69.0,2150.0,Maison,68000.0
96,Abbaretz,2017,,,3.0,60.0,185.0,Maison,89000.0
