,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
0,2019,Abbaretz,300000.0,Maison,166.0,5.0,1030.0
5,2018,Abbaretz,88000.0,Maison,55.0,1.0,1837.0
10,2017,Abbaretz,65000.0,Maison,70.0,3.0,130.0
13,2015,Abbaretz,111000.0,Maison,60.0,2.0,455.0
18,2015,Abbaretz,105000.0,Maison,117.0,2.0,1070.0
22,2015,Abbaretz,65000.0,Maison,65.0,3.0,1964.0
