,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
12,2016,Abbaretz,102500.0,Maison,114.0,3.0,270.0,-1.5275,47.53321
14,2016,Abbaretz,51350.0,Maison,96.0,3.0,1874.0,-1.526672,47.533186
