,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
0,2016,Abbaretz,198000.0,Maison,185.0,4.0,1425.0
1,2015,Abbaretz,118000.0,Maison,72.0,2.0,2235.0
2,2014,Abbaretz,171000.0,Maison,120.0,5.0,420.0
