,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
0,2019,Abbaretz,105000.0,Maison,97.0,3.0,775.0
5,2018,Abbaretz,68000.0,Maison,69.0,3.0,2150.0
7,2016,Abbaretz,200000.0,Maison,100.0,4.0,341.0
