,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
5,2018,Abbaretz,125000.0,Maison,130.0,4.0,906.0
9,2016,Abbaretz,190000.0,Maison,121.0,3.0,316.0
