,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
0,2016,Abbaretz,160000.0,Maison,115.0,3.0,1803.0,-1.534179,47.535743
12,2014,Abbaretz,90000.0,Maison,24.0,0.0,2888.0,-1.535011,47.536902
