,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
4,2017,Abbaretz,90000.0,Maison,59.0,2.0,435.0,-1.532885,47.547748
5,2017,Abbaretz,12000.0,Local industriel. commercial ou assimilé,45.0,0.0,305.0,-1.533115,47.547725
