,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
0,2018,Abbaretz,180000.0,Maison,98.0,4,1263.0
1,2018,Abbaretz,180000.0,Maison,98.0,4,1000.0
2,2017,Abbaretz,50500.0,Local industriel. commercial ou assimilé,250.0,0,2982.0
